"","Location","dt","Avg.Tem","Avg.Vol"
"447","Bulgaria",1790-03-01,4.081,2.957
"448","Bulgaria",1790-04-01,7.628,4.038
"449","Bulgaria",1790-05-01,15.133,2.402
"450","Bulgaria",1790-06-01,20.598,2.111
"451","Bulgaria",1790-07-01,20.583,2.572
"452","Bulgaria",1790-08-01,21.202,2.517
"453","Bulgaria",1790-09-01,16.55,2.874
"454","Bulgaria",1790-10-01,11.49,2.915
"455","Bulgaria",1790-11-01,5.891,2.163
"456","Bulgaria",1790-12-01,3.214,7.832
"457","Bulgaria",1791-01-01,2.568,5.662
"458","Bulgaria",1791-02-01,1.694,2.857
"459","Bulgaria",1791-03-01,5.558,3.483
"460","Bulgaria",1791-04-01,11.089,2.942
"461","Bulgaria",1791-05-01,14.507,2.299
"462","Bulgaria",1791-06-01,18.831,2.547
"463","Bulgaria",1791-07-01,20.973,2.335
"464","Bulgaria",1791-08-01,22.057,2.115
"465","Bulgaria",1791-09-01,15.936,2.723
"466","Bulgaria",1791-10-01,10.888,2.168
"467","Bulgaria",1791-11-01,6.904,2.233
"468","Bulgaria",1791-12-01,2.96,1.958
"469","Bulgaria",1792-01-01,-0.664,4.95
"470","Bulgaria",1792-02-01,0.393,3.513
"471","Bulgaria",1792-03-01,4.303,2.588
"472","Bulgaria",1792-04-01,9.642,2.566
"473","Bulgaria",1792-05-01,14.92,2.059
"474","Bulgaria",1792-06-01,20.179,1.991
"475","Bulgaria",1792-07-01,21.743,2.466
"476","Bulgaria",1792-08-01,19.985,2.427
"477","Bulgaria",1792-09-01,17.568,2.932
"478","Bulgaria",1792-10-01,10.497,2.173
"479","Bulgaria",1792-11-01,5,3.263
"480","Bulgaria",1792-12-01,1.319,3.318
"481","Bulgaria",1793-01-01,-2.728,4.163
"482","Bulgaria",1793-02-01,2.167,4.961
"483","Bulgaria",1793-03-01,3.495,3.898
"484","Bulgaria",1793-04-01,8.118,2.757
"485","Bulgaria",1793-05-01,14.101,2.09
"486","Bulgaria",1793-06-01,18.313,3.331
"487","Bulgaria",1793-07-01,21.916,4.208
"488","Bulgaria",1793-08-01,20.826,3.993
"489","Bulgaria",1793-09-01,17.305,2.899
"490","Bulgaria",1793-10-01,11.638,3.427
"491","Bulgaria",1793-11-01,6.224,4.243
"492","Bulgaria",1793-12-01,1.872,3.348
"493","Bulgaria",1794-01-01,1.449,4.996
"494","Bulgaria",1794-02-01,2.126,5.907
"495","Bulgaria",1794-03-01,5.355,2.194
"496","Bulgaria",1794-04-01,12.033,2.818
"497","Bulgaria",1794-05-01,16.842,3.126
"498","Bulgaria",1794-06-01,19.124,4.125
"499","Bulgaria",1794-07-01,21.98,5.583
"500","Bulgaria",1794-08-01,20.283,2.823
"501","Bulgaria",1794-09-01,16.016,2.428
"502","Bulgaria",1794-10-01,11.057,2.599
"503","Bulgaria",1794-11-01,5.829,2.731
"504","Bulgaria",1794-12-01,-0.0909999999999998,2.982
"505","Bulgaria",1795-01-01,-3.954,5.596
"506","Bulgaria",1795-02-01,1.383,6.742
"507","Bulgaria",1795-03-01,5.576,2.709
"508","Bulgaria",1795-04-01,11.203,2.753
"509","Bulgaria",1795-05-01,15.595,4.148
"510","Bulgaria",1795-06-01,19.856,2.13
"511","Bulgaria",1795-07-01,20.435,3.484
"512","Bulgaria",1795-08-01,20.744,3.047
"513","Bulgaria",1795-09-01,15.918,3.463
"514","Bulgaria",1795-10-01,12.579,3.556
"515","Bulgaria",1795-11-01,4.916,3.086
"516","Bulgaria",1795-12-01,2.309,3.089
"517","Bulgaria",1796-01-01,2.456,3.048
"518","Bulgaria",1796-02-01,1.246,1.885
"519","Bulgaria",1796-03-01,1.581,2.827
"520","Bulgaria",1796-04-01,7.657,1.866
"521","Bulgaria",1796-05-01,15.54,1.78
"522","Bulgaria",1796-06-01,19.529,3.714
"523","Bulgaria",1796-07-01,21.597,2.504
"524","Bulgaria",1796-08-01,21.779,3.846
"525","Bulgaria",1796-09-01,18.059,4.752
"526","Bulgaria",1796-10-01,12.139,2.417
"527","Bulgaria",1796-11-01,5.687,3.441
"528","Bulgaria",1796-12-01,0.056,4.357
"529","Bulgaria",1797-01-01,0.952,7.472
"530","Bulgaria",1797-02-01,2.584,2.946
"531","Bulgaria",1797-03-01,3.097,2.642
"532","Bulgaria",1797-04-01,10.398,4.299
"533","Bulgaria",1797-05-01,16.798,3.575
"534","Bulgaria",1797-06-01,20.245,2.592
"535","Bulgaria",1797-07-01,22.143,2.342
"536","Bulgaria",1797-08-01,22.208,2.787
"537","Bulgaria",1797-09-01,18.577,3.33
"538","Bulgaria",1797-10-01,12.584,2.388
"539","Bulgaria",1797-11-01,5.746,3.323
"540","Bulgaria",1797-12-01,2.091,3.648
"541","Bulgaria",1798-01-01,0.551,2.204
"542","Bulgaria",1798-02-01,2.453,2.527
"543","Bulgaria",1798-03-01,6.31,2.43
"544","Bulgaria",1798-04-01,9.963,2.359
"545","Bulgaria",1798-05-01,15.385,3.608
"546","Bulgaria",1798-06-01,19.247,2.242
"547","Bulgaria",1798-07-01,22.085,2.776
"548","Bulgaria",1798-08-01,21.907,4.272
